sample_name,gso_category
كورسان لوز,Cereals; Legumes and their Products
كورسان جبن,Cereals; Legumes and their Products
تربل كيك شوكولاتة,Cereals; Legumes and their Products
كيك فول سوداني,Cereals; Legumes and their Products
كوكيز كراميل,Cereals; Legumes and their Products
كرات البروتين,Cereals; Legumes and their Products
كيك شوكولاتة دريم,Cereals; Legumes and their Products
كعكة ليمون,Cereals; Legumes and their Products
فطيرة جبنة كريمة,Ready to Eat Foods
خبز صغير (بر),Cereals; Legumes and their Products
خبز صغير (ابيض),Cereals; Legumes and their Products
خبز ابيض صغير,Cereals; Legumes and their Products
دونت باليمون,Cereals; Legumes and their Products
كورسان بالجبنة,Cereals; Legumes and their Products
كورسان بالزعتر,Cereals; Legumes and their Products
فطيرة كوفي رول,Ready to Eat Foods
مانشكينز جليزد,Cereals; Legumes and their Products
دونات كاستر,Cereals; Legumes and their Products
دونات كلاسك,Cereals; Legumes and their Products
دونات نوتيلا دريم كيك,Cereals; Legumes and their Products
تشيز كيك بالتوت,Cereals; Legumes and their Products
فطيرة دنش,Ready to Eat Foods
فطيرة دنش فراولة,Ready to Eat Foods
بن كيك,Cereals; Legumes and their Products
وافل,Cereals; Legumes and their Products
كيكة شوكولاتة مع فستق,Cereals; Legumes and their Products
كيكة رمان,Cereals; Legumes and their Products
كيك لوز,Cereals; Legumes and their Products
كيك بالجزر,Cereals; Legumes and their Products
كيك بادج,Cereals; Legumes and their Products
شوكلير,Cereals; Legumes and their Products
دونات شوكولاتة,Cereals; Legumes and their Products
دونات وايت شوكولاتة,Cereals; Legumes and their Products
كروسان سادة (زبدة),Cereals; Legumes and their Products
دنيش بالكاستر,Ready to Eat Foods
ون نيلا كيك,Cereals; Legumes and their Products
روز بيري كيك,Cereals; Legumes and their Products
خبز مجفف,Cereals; Legumes and their Products
مكرون بالتوت,Cereals; Legumes and their Products
مكرون فانيلا,Cereals; Legumes and their Products
حلويات فرانسية,Cereals; Legumes and their Products
كيكة الفستق الحلبي,Cereals; Legumes and their Products
فطيرة كلوب ساندوتش,Ready to Eat Foods
مكرون,Cereals; Legumes and their Products
مكس اكلير,Cereals; Legumes and their Products
كيكة بستاشيو,Cereals; Legumes and their Products
قرنتي براوني,Cereals; Legumes and their Products
كروسان زبدة,Cereals; Legumes and their Products
راز بيري كيك,Cereals; Legumes and their Products
كيكة المكسرات,Cereals; Legumes and their Products
تارت اناناس,Ready to Eat Foods
من كيك,Cereals; Legumes and their Products
تارت شوكولاتة,Ready to Eat Foods
موز بالشوكولاتة,Fruit and Vegetables
حلا القهوة,Cereals; Legumes and their Products
سافروت كريم,Cereals; Legumes and their Products
بانشن باناكوتة,Ready to Eat Foods
بستاشيو كيك,Cereals; Legumes and their Products
دنيش كاستر,Ready to Eat Foods
دنيش بلاك بيري مع كاستر,Ready to Eat Foods
مافن شوكولاتة,Cereals; Legumes and their Products
موز بالكيك,Cereals; Legumes and their Products
دنش فراولة,Ready to Eat Foods
كروسان كريم شير,Cereals; Legumes and their Products
مافن بالمكسرات,Cereals; Legumes and their Products
حلا مكسرات,Cereals; Legumes and their Products
كيك بالزعفران,Cereals; Legumes and their Products
زبادي مع مكسرات,Dairy Products
شوفان مع عسل,Cereals; Legumes and their Products
كيك انجليزي,Cereals; Legumes and their Products
كاميل موسكي كيك,Cereals; Legumes and their Products
كيكة القهوة,Cereals; Legumes and their Products
تشيز كيك كروت,Cereals; Legumes and their Products
شو مع كاسترد,Cereals; Legumes and their Products
شو اكلير,Cereals; Legumes and their Products
رواني بالفراولة,Cereals; Legumes and their Products
كلشكول كاجو,Cereals; Legumes and their Products
دونت بالزعتر والشوكولاتة,Cereals; Legumes and their Products
مانشكينز بافاريان,Cereals; Legumes and their Products
لونج جون,Cereals; Legumes and their Products
ياقلبوة,Cereals; Legumes and their Products
تشوروز,Cereals; Legumes and their Products
دونت بستاشو,Cereals; Legumes and their Products
ماليبو بارتي دونات,Cereals; Legumes and their Products
بف لحم,Ready to Eat Foods
كستر,Ready to Eat Foods
كروسان فراولة دانش,Cereals; Legumes and their Products
كروسان جبنة زعتر دانش,Cereals; Legumes and their Products
كروسان مرتديلا + جبنة,Cereals; Legumes and their Products
نكهة قطب السكر,Beverages
تشيز كيك مانجو,Cereals; Legumes and their Products
كيكة كرانشي,Cereals; Legumes and their Products
كيكة نوتيلا,Cereals; Legumes and their Products
كيكة جوز الهند مانجو,Cereals; Legumes and their Products
كيكة جوز الهند رد فلفت,Cereals; Legumes and their Products
حلا كيندر,Cereals; Legumes and their Products
حلا مارس,Cereals; Legumes and their Products
فطيرة جبنة وزعتر,Ready to Eat Foods
انجلش شوكولاتة,Cereals; Legumes and their Products
دونت شوكولاتة,Cereals; Legumes and their Products
دونت ماك بيس شزكولاتة,Cereals; Legumes and their Products
حنيني,Ready to Eat Foods
حلا برلية,Ready to Eat Foods
مربى خوخ,"Jelly, Jam and Marmalade"
مربى دبيازى,"Jelly, Jam and Marmalade"
كيك جوز الهند,Cereals; Legumes and their Products
كريمة بالفرن,Ready to Eat Foods
كورسان جبن بالعسل,Cereals; Legumes and their Products
خلية بالجين الكيري,Cereals; Legumes and their Products
حلا كاسات شوكولاتة بالجوز الهند,Cereals; Legumes and their Products
حلا كاسات شوكولاتة بالبستاشو,Cereals; Legumes and their Products
تشيز جالكسي,Cereals; Legumes and their Products
سنبوسة بالجبن,Ready to Eat Foods
تشيز كيك فستق,Cereals; Legumes and their Products
تشيز كيك جوزاء,Cereals; Legumes and their Products
كيك ايس كريم,Cereals; Legumes and their Products
تشيز كيك قرفة,Cereals; Legumes and their Products
كيك بلاك فورست,Cereals; Legumes and their Products
خبز تنور,Cereals; Legumes and their Products
كيكة فانيلا و فراولة,Cereals; Legumes and their Products
كيكة جالكسي,Cereals; Legumes and their Products
خبز صامون,Cereals; Legumes and their Products
كيكة بيكان,Cereals; Legumes and their Products
ميني اكلير شوكولاتة,Cereals; Legumes and their Products
مكس معكرون,Cereals; Legumes and their Products
فطيرة جبنة مالح,Ready to Eat Foods
فطيرة برتزل سوبريم بالديك الرومي و الجبنة,Ready to Eat Foods
فطيرة سبانخ وجبنة فيتا,Ready to Eat Foods
كيك جزر مع الجوز,Cereals; Legumes and their Products
كيك لايزي بالشوكولاتة,Cereals; Legumes and their Products
مفن كيك شوكولاتة,Cereals; Legumes and their Products
قطعة كيك اوريو,Cereals; Legumes and their Products
قطعة كيك لوتس,Cereals; Legumes and their Products
قطعة كيك تشيز كيك فانيلا فراولة,Cereals; Legumes and their Products
قطعة كيك توت,Cereals; Legumes and their Products
قطعة كيك برنسيسة,Cereals; Legumes and their Products
قطعة كيك رد فلفت,Cereals; Legumes and their Products
كيك خشخش,Cereals; Legumes and their Products
تشيز كيك جالكسي,Cereals; Legumes and their Products
فطيرة جبنة مالح بالزيتون,Ready to Eat Foods
تشيز لوتس,Cereals; Legumes and their Products
تشيز اوريو,Cereals; Legumes and their Products
تشيز تمر بالقرفة,Cereals; Legumes and their Products
تشيز لاتية,Cereals; Legumes and their Products
حلا شوكو فروستد دونت,Cereals; Legumes and their Products
حلا لونج جون,Cereals; Legumes and their Products
مكس ليشوس التوت,Cereals; Legumes and their Products
فريش مانجو,Cereals; Legumes and their Products
فانيلا ماربل,Cereals; Legumes and their Products
دونت حشوة البافاريان,Cereals; Legumes and their Products
اولد فاشند,Cereals; Legumes and their Products
كراميل ويب,Ready to Eat Foods
فروستد بالفستق,Cereals; Legumes and their Products
كوكيز نوتيلا,Cereals; Legumes and their Products
كراميل براوني,Cereals; Legumes and their Products
كلاسيك براوني,Cereals; Legumes and their Products
بيكان بالتفاح,Cereals; Legumes and their Products
خبز هتان,Cereals; Legumes and their Products
حلا فول سوداني,Cereals; Legumes and their Products
هني ورلك,Cereals; Legumes and their Products
بروني,Cereals; Legumes and their Products
كروسان ديك رومي مع خس,Cereals; Legumes and their Products
حلا براوني بالفول السوداني,Cereals; Legumes and their Products
حلا براوني بستاشو وشوكولاتة,Cereals; Legumes and their Products
كيك انجليزي بالبرتقال,Cereals; Legumes and their Products
كوكيز ام اند امز,Cereals; Legumes and their Products
برولية,Ready to Eat Foods
ماجيك بار,Cereals; Legumes and their Products
سينابون نوتيلا,Cereals; Legumes and their Products
موس كيك جالكسي,Cereals; Legumes and their Products
موس كيك فستق,Cereals; Legumes and their Products
كيك صغير لوتس,Cereals; Legumes and their Products
كيك فواكه,Cereals; Legumes and their Products
قرصان بالخضار,Ready to Eat Foods
معجنات بيض,Ready to Eat Foods
معجنات تونة,Ready to Eat Foods
معجنات جبنة فيتا مع باذنجان وطماطم,Ready to Eat Foods
معجنات بطاطس وباذنجان,Ready to Eat Foods
كروسان ديك رومي,Cereals; Legumes and their Products
دانش مالح,Cereals; Legumes and their Products
نمورة كريمة,Cereals; Legumes and their Products
كروسان فراولة بالكريمة,Cereals; Legumes and their Products
دانش فواكه,Ready to Eat Foods
دانش زبيب مع قرفة,Ready to Eat Foods
كرانش لوتس,Ready to Eat Foods
سان سبيستيان,Cereals; Legumes and their Products
فراولة بالشوكولاتة,Fruit and Vegetables
مني كيك بلو بيري اوريو,Cereals; Legumes and their Products
مني كبك سنكرز,Cereals; Legumes and their Products
تشيز بايس فطيرة,Ready to Eat Foods
كروسان جبنة بيضاء,Cereals; Legumes and their Products
خبز بر شامي,Cereals; Legumes and their Products
خبز ابيض شامي,Cereals; Legumes and their Products
بسكوت برازق,Cereals; Legumes and their Products
بان كيك,Cereals; Legumes and their Products
كب كيك مكس,Cereals; Legumes and their Products
شوكولاتة جار كيك,Cereals; Legumes and their Products
رد فلفت جار كيك,Cereals; Legumes and their Products
دريم بوش اب,Cereals; Legumes and their Products
بيريل فلفت كب كيك,Cereals; Legumes and their Products
ميني كب كيك فراولة,Cereals; Legumes and their Products
حلا شوكولاتة بالقهوة,Cereals; Legumes and their Products
حلا جنروية,Cereals; Legumes and their Products
حلا بستاشيو,Cereals; Legumes and their Products
حلا لوز بندق,Cereals; Legumes and their Products
فطيرة سينبل,Cereals; Legumes and their Products
حلا بسكوت كراميل,Cereals; Legumes and their Products
حلا شوكولاتة ويفر,Cereals; Legumes and their Products
حلا كورن فليكس,Cereals; Legumes and their Products
حلا شوكولاتة روشية,Cereals; Legumes and their Products
حلا شوكولاتة سادة بالحليب,Cereals; Legumes and their Products
حلا تمر محشي لوز,Ready to Eat Foods
حلا تمر محشي جوز الهند,Ready to Eat Foods
حلا تمر محشي سمسم,Ready to Eat Foods
حلا تمر محشي لوتس,Ready to Eat Foods
حلا تمر محشي شوكولاتة بيضاء,Ready to Eat Foods
حلا تمر محشي بستاشو,Ready to Eat Foods
حلا تمر محشي شوكولاتة بني,Ready to Eat Foods
حلا ويفر مع بندق,Cereals; Legumes and their Products
حلا كرسبي,Cereals; Legumes and their Products
حلا بسكوت سادة,Cereals; Legumes and their Products
خيز,Cereals; Legumes and their Products
ترى ليتشي روشية,Cereals; Legumes and their Products
كرواسون لوتس,Cereals; Legumes and their Products
سان سباستيان كيك,Cereals; Legumes and their Products
جاتوة كراميل,Cereals; Legumes and their Products
جاتوة شوكولاتة روشية,Cereals; Legumes and their Products
كلير اوريو,Cereals; Legumes and their Products
حلا حليب ماموس,Cereals; Legumes and their Products
حلا اصابع كيندر,Cereals; Legumes and their Products
حلا اصابع شوكولاتة,Cereals; Legumes and their Products
كعك ملبن,Cereals; Legumes and their Products
كيك سنكزس,Cereals; Legumes and their Products
قطعة كيك روشية,Cereals; Legumes and their Products
قطعة كيك رافيلو,Cereals; Legumes and their Products
كيك توكس,Cereals; Legumes and their Products
